clave,contenido
div_1_div_2_a_1,Skip to content
div_1_div_2_global-banner_1_span_3,"Explore the latest in AI, DevEx, security:"
div_1_div_2_global-banner_1_a_2,"Get 20% off your tickets to GitHub Universe, only until September 3."
div_1_div_2_header_1_h2_1,Navigation Menu
div_1_div_2_header_1_button_2_span_4,Toggle navigation
div_1_div_2_header_1_div_5_div_6_div_11_a_4,Sign in
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_1_div_14_div_15_ul_2_li_2_a_5_div_16_div_17,Actions
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_1_div_14_div_15_ul_2_li_3_a_6_div_18_div_19,Packages
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_1_div_14_div_15_ul_2_li_4_a_7_div_20_div_21,Security
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_1_div_14_div_15_ul_2_li_5_a_8_div_22_div_23,Codespaces
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_1_div_14_div_15_ul_2_li_6_a_9_div_24_div_25,GitHub Copilot
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_1_div_14_div_15_ul_2_li_7_a_10_div_26_div_27,Code review
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_1_div_14_div_15_ul_2_li_8_a_11_div_28_div_29,Issues
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_1_div_14_div_15_ul_2_li_9_a_12_div_30_div_31,Discussions
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_1_div_14_div_32_span_7,Explore
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_1_div_14_div_32_ul_3_li_10_a_13,All features
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_14_div_33_div_34_span_8,By size
div_1_div_2_header_1_div_5_div_12_div_13_nav_1_ul_1_li_14_div_33_div_34_ul_4_li_15_a_17,Enterprise
